Year,County,Total
2016,Albany,1652
2016,Allegany,75
2016,Broome,918
2016,Cattaraugus,300
2016,Cayuga,243
2016,Chautaugua,874
2016,Chemung,193
2016,Chenango,184
2016,Clinton,164
2016,Columbia,133
2016,Cortland,307
2016,Delaware,158
2016,Dutchess,1057
2016,Erie,5184
2016,Essex,88
2016,Franklin,162
2016,Fulton,560
2016,Genesee,368
2016,Greene,80
2016,Hamilton,4
2016,Herkimer,249
2016,Jefferson,739
2016,Lewis,67
2016,Livingston,176
2016,Madison,347
2016,Monroe,4789
2016,Montgomery,273
2016,Nassau,2172
2016,Niagara,1609
2016,Oneida,1899
2016,Onondaga,3537
2016,Ontario,157
2016,Orange,2003
2016,Orleans,181
2016,Oswego,612
2016,Otsego,69
2016,Putnam,183
2016,Rensselaer,759
2016,Rockland,739
2016,St. Lawrence,528
2016,Saratoga,746
2016,Schenectady,1453
2016,Schoharie,31
2016,Schuyler,32
2016,Seneca,158
2016,Steuben,323
2016,Suffolk,6730
2016,Sullivan,200
2016,Tioga,165
2016,Tompkins,89
2016,Ulster,774
2016,Warren,269
2016,Washington,153
2016,Wayne,336
2016,Westchester,1911
2016,Wyoming,81
2016,Yates,78
2017,Albany,1841
2017,Allegany,54
2017,Broome,923
2017,Cattaraugus,322
2017,Cayuga,399
2017,Chautaugua,825
2017,Chemung,208
2017,Chenango,165
2017,Clinton,172
2017,Columbia,165
2017,Cortland,217
2017,Delaware,156
2017,Dutchess,679
2017,Erie,4984
2017,Essex,65
2017,Franklin,125
2017,Fulton,567
2017,Genesee,330
2017,Greene,66
2017,Hamilton,10
2017,Herkimer,239
2017,Jefferson,666
2017,Lewis,46
2017,Livingston,197
2017,Madison,303
2017,Monroe,4867
2017,Montgomery,282
2017,Nassau,1955
2017,Niagara,1449
2017,Oneida,1782
2017,Onondaga,4105
2017,Ontario,181
2017,Orange,2224
2017,Orleans,207
2017,Oswego,483
2017,Otsego,75
2017,Putnam,84
2017,Rensselaer,1089
2017,Rockland,743
2017,St. Lawrence,487
2017,Saratoga,759
2017,Schenectady,1420
2017,Schoharie,41
2017,Schuyler,12
2017,Seneca,126
2017,Steuben,342
2017,Suffolk,6248
2017,Sullivan,248
2017,Tioga,117
2017,Tompkins,99
2017,Ulster,758
2017,Warren,221
2017,Washington,149
2017,Wayne,428
2017,Westchester,1936
2017,Wyoming,87
2017,Yates,64
