Year,County,Total
2010,Albany,"2,437"
2010,Allegany,60
2010,Broome,"1,152"
2010,Cattaraugus,465
2010,Cayuga,681
2010,Chautauqua,"1,214"
2010,Chemung,312
2010,Chenango,145
2010,Clinton,194
2010,Columbia,191
2010,Cortland,398
2010,Delaware,150
2010,Dutchess,"1,180"
2010,Erie,"5,899"
2010,Essex,69
2010,Franklin,156
2010,Fulton,386
2010,Genesee,243
2010,Greene,157
2010,Hamilton,11
2010,Herkimer,195
2010,Jefferson,447
2010,Lewis,134
2010,Livingston,162
2010,Madison,213
2010,Monroe,"6,643"
2010,Montgomery,87
2010,Nassau,"2,143"
2010,Niagara,"1,380"
2010,Oneida,"1,704"
2010,Onondaga,"3,680"
2010,Ontario,291
2010,Orange,"1,451"
2010,Orleans,181
2010,Oswego,546
2010,Otsego,91
2010,Putnam,156
2010,Rensselaer,377
2010,Rockland,"1,010"
2010,St. Lawrence,386
2010,Saratoga,601
2010,Schenectady,"2,380"
2010,Schoharie,29
2010,Schuyler,58
2010,Seneca,110
2010,Steuben,370
2010,Suffolk,"7,592"
2010,Sullivan,306
2010,Tioga,125
2010,Tompkins,181
2010,Ulster,929
2010,Warren,263
2010,Washington,279
2010,Wayne,572
2010,Westchester,"2,632"
2010,Wyoming,56
2010,Yates,101
2011,Albany,"2,268"
2011,Allegany,43
2011,Broome,"1,178"
2011,Cattaraugus,424
2011,Cayuga,739
2011,Chautauqua,"1,193"
2011,Chemung,373
2011,Chenango,276
2011,Clinton,171
2011,Columbia,240
2011,Cortland,375
2011,Delaware,149
2011,Dutchess,"1,275"
2011,Erie,"5,431"
2011,Essex,81
2011,Franklin,141
2011,Fulton,695
2011,Genesee,302
2011,Greene,110
2011,Hamilton,7
2011,Herkimer,254
2011,Jefferson,520
2011,Lewis,133
2011,Livingston,181
2011,Madison,299
2011,Monroe,"6,232"
2011,Montgomery,137
2011,Nassau,"1,783"
2011,Niagara,"1,549"
2011,Oneida,"1,868"
2011,Onondaga,"3,887"
2011,Ontario,230
2011,Orange,"1,907"
2011,Orleans,168
2011,Oswego,614
2011,Otsego,94
2011,Putnam,153
2011,Rensselaer,403
2011,Rockland,"1,018"
2011,Saratoga,587
2011,Schenectady,"1,843"
2011,Schoharie,32
2011,Schuyler,48
2011,Seneca,143
2011,St. Lawrence,504
2011,Steuben,341
2011,Suffolk,"7,569"
2011,Sullivan,300
2011,Tioga,116
2011,Tompkins,132
2011,Ulster,779
2011,Warren,249
2011,Washington,307
2011,Wayne,500
2011,Westchester,"2,568"
2011,Wyoming,95
2011,Yates,120
