Year,County,% Food Insecure,Population,# Uninsured,# Uninsured.1,Homicide Rate
2020,washington,10.5,61197.0,2342.0,314.0,
2020,wayne,9.8,90064.0,3090.0,485.0,2.4981888131
2020,westchester,7.7,967612.0,49057.0,7266.0,1.9553360091
2020,wyoming,10.5,40085.0,1198.0,186.0,
2020,yates,9.9,24841.0,1278.0,325.0,
2019,albany,12.2,309612.0,9635.0,1281.0,2.7
2019,allegany,12.4,46894.0,1619.0,344.0,
2019,broome,13.0,193639.0,7295.0,980.0,2.7
2019,cattaraugus,12.5,77348.0,3812.0,685.0,
2019,cayuga,10.6,77603.0,2986.0,417.0,
2019,chautauqua,12.4,129046.0,4846.0,848.0,2.1
2019,chemung,12.8,85557.0,2585.0,530.0,3.3
2019,chenango,11.0,47863.0,1751.0,265.0,
2019,clinton,12.2,80980.0,3458.0,387.0,
2019,columbia,9.9,60604.0,2607.0,420.0,
2019,cortland,11.8,47786.0,1508.0,218.0,
2019,delaware,11.5,45001.0,1914.0,274.0,
2019,dutchess,8.8,295568.0,10704.0,1695.0,1.9
2019,erie,12.7,925528.0,30129.0,4163.0,5.8
2019,essex,9.9,37956.0,1307.0,206.0,
2019,franklin,12.9,51116.0,2084.0,385.0,
2019,fulton,12.2,53877.0,2253.0,305.0,
2019,genesee,10.3,57956.0,2163.0,345.0,
2019,greene,10.4,47470.0,1757.0,272.0,
2019,hamilton,10.0,4485.0,195.0,26.0,
2019,herkimer,11.4,62240.0,2228.0,389.0,
2019,jefferson,13.0,114187.0,4902.0,818.0,2.1
2019,lewis,11.4,26551.0,1104.0,220.0,
2019,livingston,10.9,63799.0,1949.0,294.0,
2019,madison,10.2,70965.0,2358.0,368.0,
2019,monroe,12.5,747642.0,26745.0,3300.0,5.6
2019,montgomery,12.0,49258.0,2057.0,343.0,
2019,nassau,5.6,1369514.0,50553.0,6704.0,1.9
2019,niagara,12.0,211328.0,7626.0,1032.0,2.7
2019,oneida,12.2,231332.0,7775.0,1244.0,3.1
2019,onondaga,12.5,465398.0,17497.0,2462.0,5.1
2019,ontario,9.2,109899.0,3392.0,585.0,
2019,orange,8.4,382226.0,17013.0,2810.0,3.0
2019,orleans,11.7,40983.0,1782.0,301.0,
2019,oswego,12.7,118478.0,4542.0,604.0,1.2
2019,otsego,11.2,60094.0,2381.0,329.0,
2019,putnam,4.7,99323.0,3474.0,550.0,
2019,rensselaer,11.1,159722.0,5608.0,810.0,3.3
2019,rockland,9.2,328868.0,15045.0,2977.0,1.5
2019,st. lawrence,13.4,109623.0,4523.0,905.0,1.4
2019,saratoga,7.9,229869.0,7102.0,1029.0,1.1
2019,schenectady,10.8,155565.0,5484.0,729.0,3.9
2019,schoharie,10.8,31420.0,1174.0,198.0,
2019,schuyler,11.2,18000.0,710.0,106.0,
2019,seneca,10.7,34498.0,1390.0,275.0,
2019,steuben,11.9,96281.0,3968.0,682.0,
2019,suffolk,5.5,1492953.0,65873.0,9455.0,2.2
