Year,County,Total
2012,Albany,"2,252"
2012,Allegany,52
2012,Broome,980
2012,Cattaraugus,530
2012,Cayuga,758
2012,Chautauqua,980
2012,Chemung,247
2012,Chenango,330
2012,Clinton,168
2012,Columbia,210
2012,Cortland,428
2012,Delaware,157
2012,Dutchess,"1,401"
2012,Erie,"6,305"
2012,Essex,65
2012,Franklin,150
2012,Fulton,609
2012,Genesee,300
2012,Greene,102
2012,Hamilton,4
2012,Herkimer,285
2012,Jefferson,917
2012,Lewis,144
2012,Livingston,200
2012,Madison,329
2012,Monroe,"5,806"
2012,Montgomery,278
2012,Nassau,"2,276"
2012,Niagara,"1,722"
2012,Oneida,"1,855"
2012,Onondaga,"4,235"
2012,Ontario,248
2012,Orange,"2,022"
2012,Orleans,177
2012,Oswego,660
2012,Otsego,98
2012,Putnam,79
2012,Rensselaer,457
2012,Rockland,957
2012,St Lawrence,473
2012,Saratoga,697
2012,Schenectady,"1,960"
2012,Schoharie,29
2012,Schuyler,38
2012,Seneca,236
2012,Steuben,258
2012,Suffolk,"7,424"
2012,Sullivan,239
2012,Tioga,137
2012,Tompkins,146
2012,Ulster,827
2012,Warren,189
2012,Washington,303
2012,Wayne,508
2012,Westchester,"2,439"
2012,Wyoming,104
2012,Yates,68
2013,Albany,"2,067"
2013,Allegany,70
2013,Broome,863
2013,Cattaraugus,525
2013,Cayuga,527
2013,Chautauqua,889
2013,Chemung,185
2013,Chenango,235
2013,Clinton,211
2013,Columbia,187
2013,Cortland,353
2013,Delaware,159
2013,Dutchess,"1,097"
2013,Erie,"6,813"
2013,Essex,86
2013,Franklin,100
2013,Fulton,443
2013,Genesee,271
2013,Greene,69
2013,Hamilton,2
2013,Herkimer,221
2013,Jefferson,776
2013,Lewis,152
2013,Livingston,168
2013,Madison,292
2013,Monroe,"5,092"
2013,Montgomery,186
2013,Nassau,"2,446"
2013,Niagara,"1,673"
2013,Oneida,"1,730"
2013,Onondaga,"4,003"
2013,Ontario,259
2013,Orange,"1,997"
2013,Orleans,189
2013,Oswego,608
2013,Otsego,58
2013,Putnam,115
2013,Rensselaer,816
2013,Rockland,931
2013,St Lawrence,426
2013,Saratoga,754
2013,Schenectady,"1,450"
2013,Schoharie,21
2013,Schuyler,36
2013,Seneca,210
2013,Steuben,226
2013,Suffolk,"7,533"
2013,Sullivan,214
2013,Tioga,143
2013,Tompkins,127
2013,Ulster,731
2013,Warren,225
2013,Washington,319
2013,Wayne,592
2013,Westchester,"2,223"
2013,Wyoming,104
2013,Yates,55
