Year,County,Total
2014,Albany,1930
2014,Allegany,67
2014,Broome,790
2014,Cattaraugus,407
2014,Cayuga,329
2014,Chautauqua,903
2014,Chemung,190
2014,Chenango,220
2014,Clinton,142
2014,Columbia,187
2014,Cortland,217
2014,Delaware,187
2014,Dutchess,943
2014,Erie,6141
2014,Essex,73
2014,Franklin,138
2014,Fulton,616
2014,Genesee,447
2014,Greene,71
2014,Hamilton,2
2014,Herkimer,208
2014,Jefferson,732
2014,Lewis,114
2014,Livingston,169
2014,Madison,269
2014,Monroe,4709
2014,Montgomery,197
2014,Nassau,2360
2014,Niagra,1710
2014,Oneida,1665
2014,Onondaga,3644
2014,Ontario,212
2014,Orange,1864
2014,Orleans,156
2014,Oswego,550
2014,Otsego,62
2014,Putnam,58
2014,Rensselaer,903
2014,Rockland,900
2014,St. Lawrence,379
2014,Saratoga,653
2014,Schenactady,1403
2014,Schoharie,35
2014,Schuyler,47
2014,Seneca,178
2014,Steuben,277
2014,Suffolk,7207
2014,Sullivan,159
2014,Tioga,147
2014,Tompkins,145
2014,Ulster,741
2014,Warren,242
2014,Washington,278
2014,Wayne,477
2014,Westchester,2323
2014,Wyoming,108
2014,Yates,92
2015,Albany,1560
2015,Allegany,68
2015,Broome,756
2015,Cattaraugus,359
2015,Cayuga,307
2015,Chautauqua,939
2015,Chemung,115
2015,Chenango,264
2015,Clinton,152
2015,Cortland,196
2015,Columbia,206
2015,Delaware,163
2015,Dutchess,980
2015,Erie,5768
2015,Essex,60
2015,Franklin,176
2015,Fulton,677
2015,Genesee,384
2015,Greene,61
2015,Hamilton,3
2015,Herkimer,219
2015,Jefferson,756
2015,Lewis,97
2015,Livingston,163
2015,Madison,329
2015,Monroe,4804
2015,Montgomery,206
2015,Nassau,2314
2015,Niagra,1707
2015,Oneida,1705
2015,Onondaga,3749
2015,Ontario,211
2015,Orange,1921
2015,Orleans,158
2015,Oswego,514
2015,Otsego,55
2015,Putnam,74
2015,Rensselaer,992
2015,Rockland,808
2015,St. Lawrence,439
2015,Saratoga,800
2015,Schenactady,1137
2015,Schoharie,42
2015,Schuyler,36
2015,Seneca,178
2015,Steuben,311
2015,Suffolk,7076
2015,Sullivan,155
2015,Tioga,156
2015,Tompkins,125
2015,Ulster,913
2015,Warren,233
2015,Washington,198
2015,Wayne,465
2015,Westchester,49
2015,Wyoming,91
2015,Yates,75
